species;habitat;venom_stat(threat_to_humans);threat_to_humans;model_predictions
Alosa-sapidissima;"Marine; freshwater; brackish;  pelagic-neritic; anadromous (Ref. 51243); depth range 0 - 250 m (Ref. 6793). Subtropical; 54°N -   28°N, 84°W -   52°W (Ref. 86798)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 0.5 - 11.5, mean 5.6 °C (based on 113 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00646 (0.00393 - 0.01061), b=3.08 (2.94 - 3.22), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.3 se; based on diet studies.					

				
					
					
						 Generation time: 5.5 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.14; tm=4.7).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (50 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (44 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low."
Chelmon-rostratus;"Marine; brackish;  reef-associated; non-migratory; depth range 1 - 25 m (Ref. 9710). Tropical";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 24.7 - 29.3, mean 28.5 °C (based on 3215 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01148 (0.00431 - 0.03057), b=3.09 (2.87 - 3.31), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.37 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Anguilla-anguilla;"Marine; freshwater; brackish;  demersal; catadromous (Ref. 51243); depth range 0 - 700 m (Ref. 54218). Temperate; 4°C - 20°C (Ref. 2059); 75°N -   8°N, 82°W -   50°E (Ref. 42249)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 3 - 14.5, mean 7.9 °C (based on 1203 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00095 (0.00084 - 0.00108), b=3.17 (3.13 - 3.21), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.3 se; based on diet studies.					

				
					
					
						 Generation time: 8.7 (7.5 - 12.6) years. Estimated as median ln(3)/K based on 26 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.1; tm=6-30; tmax=23).					
								
					
						 Prior r = 0.20, 95% CL = 0.13 - 0.30, Based on 2 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (68 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Bufo-bufo;NA;nonvenomous;NA;NA
Xiphias-gladius;"Marine;  pelagic-oceanic; oceanodromous (Ref. 51243); depth range 0 - 2878 m (Ref. 116993), usually 0 - 550 m (Ref. 54934). Temperate; 5°C - 27°C (Ref. 43); 69°N -   50°S, 180°W -   180°E (Ref. 54934)";nonvenomous;;"Preferred temperature (Ref. 123201): 10.9 - 27.6, mean 22.7 °C (based on 5276 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00372 (0.00159 - 0.00868), b=3.15 (2.94 - 3.36), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 8.5 (6.1 - 10.8) years. Estimated as median ln(3)/K based on 13 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (rm=0.076; K=0.23; tm=5-6; tmax=9).					
								
					
						 Prior r = 0.56, 95% CL = 0.37 - 0.85, Based on 8 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (72 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (43 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
olypterus-senegalus;NA;nonvenomous;NA;NA
Oncorhynchus-mykiss;"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 200 m (Ref. 50550). Subtropical; 10°C - 24°C (Ref. 12741); 67°N -   32°N, 135°E -   117°W";nonvenomous;Potential pest;"Preferred temperature (Ref. 123201): 1.3 - 10, mean 5.4 °C (based on 315 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00734 - 0.01187), b=3.03 (2.98 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.1   ±0.3 se; based on diet studies.					

				
					
					
						 Generation time: 2.9 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.38-0.46; tm=2-5; tmax=11; Fec=200).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (43 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (52 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low."
Megalops-cyprinoides;"Marine; freshwater; brackish;  benthopelagic; amphidromous; depth range 50 - ? m (Ref. 2847). Tropical; 34°N -   37°S, 16°E -   130°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 19.8 - 27.6, mean 24.4 °C (based on 501 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00741 (0.00534 - 0.01030), b=3.07 (2.98 - 3.16), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming tm<=4).					
								
					
						 Prior r = 0.57, 95% CL = 0.37 - 0.85, Based on 2 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (75 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low."
Lucifuga-dentata;"Freshwater;  demersal. Tropical; 22°N -   20°N";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Nothobranchius-furzeri;"Freshwater;  benthopelagic; pH range: 6.5 - 7.0; dH range: 4 - 15; non-migratory. Tropical; 23°C - 30°C (Ref. 2060); 21°S -   23°S";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
eolamprologus-brichardi;NA;nonvenomous;NA;NA
Clarias-magur;"Freshwater;  demersal. Tropical";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Electrophorus-electricus;"Freshwater;  benthopelagic. Tropical; 23°C - 28°C (Ref. 1672)";nonvenomous;Other;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00389 (0.00180 - 0.00842), b=3.12 (2.94 - 3.30), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.52 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=3; tmax=6 (captive); Fec=17,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Etheostoma-cragini;"Freshwater;  benthopelagic. Subtropical; 40°N -   33°N";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Cyclopterus-lumpus;"Marine;  benthopelagic; oceanodromous (Ref. 51243); depth range 0 - 868 m (Ref. 58496), usually 50 - 150 m (Ref. 4701). Polar; 3°C - 11°C (Ref. 127841); 80°N -   32°N, 95°W -   49°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 0.6 - 11.4, mean 7.1 °C (based on 732 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02630 (0.01096 - 0.06313), b=2.99 (2.77 - 3.21), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.0 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.12; tm=3-5; tmax=13; Fec=100,000).					
								
					
						 Prior r = 0.17, 95% CL = 0.10 - 0.27, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (47 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low to moderate vulnerability (26 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low."
Esox-lucius;"Freshwater; brackish;  pelagic; potamodromous; depth range 0 - 30 m (Ref. 1998), usually 1 - 5 m (Ref. 1998). Subtropical; 10°C - 28°C (Ref. 12741); 72°N -   37°N, 11°W -   55°W (Ref. 121102)";nonvenomous;Potential pest;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5157   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00447 (0.00395 - 0.00505), b=3.08 (3.04 - 3.12), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.1   ±0.4 se; based on diet studies.					

				
					
					
						 Generation time: 6.8 (5.7 - 8.3) years. Estimated as median ln(3)/K based on 37 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.07-0.3; tm=2-3; tmax=30; Fec=2,000-600,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (65 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Ameiurus-melas;"Freshwater;  demersal; pH range: 6.5 - 8.0; dH range: 4 - 25; amphidromous (Ref. 51243); depth range 10 - ? m. Temperate; 8°C - 30°C (Ref. 2059); 52°N -   26°N";nonvenomous;Potential pest;"Nutrients  (Ref. 124155):  Calcium = 26.2 [14.2, 56.7] mg/100g ; Iron = 0.454 [0.256, 0.749] mg/100g ; Protein = 17.2 [15.2, 19.0] % ; Omega3 = 1.23 [0.46, 3.30] g/100g ; Selenium = 17 [7, 43] μg/100g ; VitaminA = 20.3 [6.4, 62.9] μg/100g ; Zinc = 0.612 [0.409, 0.891] mg/100g (wet weight);"
Channa-argus;"Freshwater;  benthopelagic. Subtropical; 4°C - 22°C (Ref. 2060); 54°N -   25°N, 111°E -   141°E";nonvenomous;Potential pest (Ref. 45309);"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00741 (0.00489 - 0.01124), b=3.00 (2.88 - 3.12), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.3 se; based on diet studies.					

				
					
					
						 Generation time: 8.5 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (62 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Xenopus-tropicalis;NA;nonvenomous;NA;NA
Oncorhynchus-kisutch;"Marine; freshwater; brackish;  pelagic; anadromous (Ref. 51243); depth range 0 - 250 m (Ref. 50550). Subtropical; 0°C - 25°C (Ref. 35682); 72°N -   22°N, 135°E -   111°W (Ref. 117423)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 1 - 8.9, mean 3.9 °C (based on 453 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00482 - 0.02276), b=3.04 (2.87 - 3.21), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.70 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.98(?); tm=2-4; Fec=1,400).					
								
					
						 Prior r = 0.36, 95% CL = 0.24 - 0.55, Based on 2 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (52 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (72 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium."
Pangasianodon-hypophthalmus;"Freshwater;  benthopelagic; pH range: 6.5 - 7.5; dH range: 2 - 29; potamodromous (Ref. 51243). Tropical; 22°C - 26°C (Ref. 13371); 19°N -   8°N";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00479 (0.00303 - 0.00755), b=3.11 (2.98 - 3.24), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.46 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm=4-5; assuming tmax >10).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Gadus-morhua;"Marine; brackish;  benthopelagic; oceanodromous (Ref. 51243); depth range 0 - 600 m (Ref. 1371), usually 150 - 200 m (Ref. 54441). Temperate; 0°C - 15°C; 83°N -   35°N, 76°W -   86°E (Ref. 1371)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 0.5 - 10.3, mean 6.6 °C (based on 769 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00676 (0.00605 - 0.00756), b=3.08 (3.05 - 3.11), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.1   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 7.7 (7.1 - 9.2) years. Estimated as median ln(3)/K based on 57 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (rm=0.2-1.1; also (Ref. 36717)).					
								
					
						 Prior r = 0.52, 95% CL = 0.34 - 0.78, Based on 48 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (65 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (39 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium."
Takifugu-flavidus;"Marine;  demersal. Temperate";nonvenomous;Poisonous to eat (Ref. 559);"Preferred temperature (Ref. 123201): 13.7 - 22.8, mean 18.6 °C (based on 36 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02291 (0.00950 - 0.05523), b=2.89 (2.71 - 3.07), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (33 of 100)."
Bagarius-yarrelli;"Freshwater; brackish;  benthopelagic; pH range: 6.5 - 7.8; dH range: 12 - 30; potamodromous (Ref. 51243). Tropical; 18°C - 25°C (Ref. 2060)";nonvenomous;Harmless;"Nutrients  (Ref. 124155):  Calcium = 40 [15, 84] mg/100g ; Iron = 0.536 [0.254, 1.225] mg/100g ; Protein = 16 [14, 18] % ; Omega3 = 0.0789 [, ] g/100g ; Selenium = 47.7 [14.7, 154.7] μg/100g ; VitaminA = 22 [4, 108] μg/100g ; Zinc = 1.42 [0.83, 2.42] mg/100g (wet weight);"
Danionella-translucida;"Freshwater;  benthopelagic. Tropical";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Takifugu-rubripes;"Marine; freshwater; brackish;  demersal; non-migratory. Temperate; 46°N -   21°N, 119°E -   142°E";nonvenomous;Poisonous to eat (Ref. 637);"Preferred temperature (Ref. 123201): 13.5 - 23, mean 19 °C (based on 96 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01622 (0.00717 - 0.03671), b=2.92 (2.74 - 3.10), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.57 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.15-0.17; assuming tm<5).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (30 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Salmo-trutta;"Marine; freshwater; brackish;  pelagic-neritic; anadromous (Ref. 51243); depth range 0 - 28 m (Ref. 101587), usually 1 - 2 m (Ref. 101587). Subtropical; 18°C - 24°C (Ref. 12741); 71°N -   34°N, 25°W -   57°E";nonvenomous;Potential pest;"Preferred temperature (Ref. 123201): 6.5 - 15.8, mean 10.1 °C (based on 918 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00851 (0.00757 - 0.00957), b=3.03 (3.00 - 3.06), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
						 Generation time: 4.2 (3.2 - 7.6) years. Estimated as median ln(3)/K based on 15 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (rm=0.9; K=0.09-0.8; tmax=8; Fec=1,000).					
								
					
						 Prior r = 0.46, 95% CL = 0.30 - 0.68, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (56 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Very high vulnerability (85 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Echeneis-naucrates;"Marine; brackish;  reef-associated; depth range 1 - 85 m (Ref. 86942). Subtropical; 45°N -   45°S, 180°W -   180°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 18.3 - 28.6, mean 27.2 °C (based on 566 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7539   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00263 (0.00111 - 0.00626), b=3.17 (2.96 - 3.38), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.3 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming Fec < 10,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (66 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High."
Takifugu-bimaculatus;"Marine;  demersal. Subtropical";nonvenomous;Poisonous to eat (Ref. 42715);"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Cottoperca-gobio;"Marine;  demersal. Subtropical; 34°S -   57°S, 76°W -   53°W";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 6.8 - 13.7, mean 9 °C (based on 281 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7505   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00514 - 0.02450), b=3.04 (2.87 - 3.21), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.3   ±0.73 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (52 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 71.9 [40.2, 145.7] mg/100g ; Iron = 1.23 [0.75, 2.11] mg/100g ; Protein = 17.9 [15.5, 21.1] % ; Omega3 = 0.282 [0.173, 0.476] g/100g ; Selenium = 23.7 [11.3, 52.3] μg/100g ; VitaminA = 11.2 [3.6, 34.7] μg/100g ; Zinc = 0.603 [0.419, 0.897] mg/100g (wet weight); based on nutrient studies."
Labrus-bergylta;"Marine;  reef-associated; depth range 1 - 50 m (Ref. 5292), usually 2 - 30 m (Ref. 35388). Temperate; 64°N -   27°N, 32°W -   22°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 8.7 - 13.3, mean 10.5 °C (based on 376 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5625   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00955 (0.00543 - 0.01679), b=3.07 (2.92 - 3.22), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.0 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.1; tmax=29; tm=2-9).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (67 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (75 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High."
Denticeps-clupeoides;"Freshwater;  pelagic. Tropical; 20°C - 25°C (Ref. 13614); 7°N -   4°N, 2°E -   9°E";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00514 - 0.02450), b=3.04 (2.87 - 3.21), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Fec < 1,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High."
Gouania-willdenowi;"Marine;  demersal; depth range 0 - 2 m (Ref. 123696). Subtropical; 45°N -   30°N, 1°W -   36°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 17.7 - 21.8, mean 19.3 °C (based on 464 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00513 (0.00201 - 0.01311), b=3.11 (2.89 - 3.33), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.5 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 229 [39, 929] mg/100g ; Iron = 1.53 [0.53, 5.20] mg/100g ; Protein = 3.01 [0.00, 6.87] % ; Omega3 = 0.246 [0.093, 0.680] g/100g ; Selenium = 5.31 [1.05, 20.19] μg/100g ; VitaminA = 58.3 [13.0, 249.9] μg/100g ; Zinc = 1.68 [0.78, 3.62] mg/100g (wet weight);"
Parambassis-ranga;"Freshwater; brackish;  demersal; pH range: 7.0 - 8.0; dH range: 9 - 19; potamodromous (Ref. 51243). Tropical; 20°C - 30°C (Ref. 1672); 38°N -   1°N";nonvenomous;Harmless;"Nutrients  (Ref. 124155):  Calcium = 678 [434, 1,182] mg/100g ; Iron = 1.63 [1.04, 2.50] mg/100g ; Protein = 16.8 [15.2, 18.6] % ; Omega3 = 0.172 [0.079, 0.380] g/100g ; Selenium = 26.3 [10.5, 59.5] μg/100g ; VitaminA = 72.5 [35.1, 147.7] μg/100g ; Zinc = 2.32 [1.66, 3.18] mg/100g (wet weight); based on nutrient studies."
