species,venom_stat(threat_to_humans),habitat,model_predictions,temp_min,temp_max
Scyliorhinus-canicula,nonvenomous,"Marine;  demersal; depth range 10 - 780 m (Ref. 56504), usually 80 - 100 m (Ref. 81056). Subtropical; 63°N -   3°N, 32°W -   37°E","Preferred temperature (Ref. 123201): 7.2 - 16.2, mean 10.1 °C (based on 28 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00151 (0.00128 - 0.00179), b=3.20 (3.15 - 3.25), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.3 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.20; tm=9; Fec=96).					
								
					
						 Prior r = 0.35, 95% CL = 0.23 - 0.53, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (62 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (53 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",7.2,16.2
Kryptolebias-marmoratus,nonvenomous,"Freshwater; brackish;  benthopelagic; pH range: ? - 7.5; dH range: ? - 16; non-migratory; depth range 0 - ? m (Ref. 55170). Tropical; 18°C - 24°C (Ref. 2060); 31°N -   3°N, 93°W -   49°W (Ref. 55170)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00389 (0.00180 - 0.00842), b=3.12 (2.94 - 3.30), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.48 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm=0.5).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",18,24
Pygocentrus-nattereri,nonvenomous,Freshwater;  pelagic; pH range: 5.5 - 7.5; dH range: ? - 20. Subtropical; 23°C - 27°C (Ref. 13371); 9°N -   34°S,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5625   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02089 (0.01363 - 0.03202), b=3.16 (3.04 - 3.28), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.61 se; based on food items.					

				
					
					
						 Generation time: 1.7 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.89; tm=1; Fec=4,000-5,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (44 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",23,27
Syngnathus-acus,nonvenomous,"Marine; brackish;  demersal; non-migratory (Ref. 88171); depth range 0 - 110 m (Ref. 4281), usually 3 - 15 m (Ref. 126547). Subtropical; 71°N -   35°S, 19°W -   42°E","Preferred temperature (Ref. 123201): 10.3 - 22.6, mean 17.7 °C (based on 934 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00025 (0.00019 - 0.00032), b=3.21 (3.15 - 3.27), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.2 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Fec=200).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (40 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 54.6 [12.4, 151.7] mg/100g ; Iron = 1.02 [0.39, 3.52] mg/100g ; Protein = 3.7 [0.1, 7.5] % ; Omega3 = 0.286 [0.130, 0.629] g/100g ; Selenium = 22.8 [5.1, 60.3] μg/100g ; VitaminA = 9.35 [4.02, 21.44] μg/100g ; Zinc = 0.838 [0.431, 1.605] mg/100g (wet weight);",10.3,22.6
Colossoma-macropomum,nonvenomous,Freshwater;  benthopelagic; pH range: 5.0 - 7.8; dH range: ? - 20; potamodromous (Ref. 51243); depth range 5 - ? m. Tropical; 22°C - 28°C (Ref. 1672); 15°S -   35°S,"Nutrients  (Ref. 124155):  Calcium = 43.6 [17.8, 103.8] mg/100g ; Iron = 1.09 [0.51, 2.44] mg/100g ; Protein = 17.6 [15.5, 19.7] % ; Omega3 = 0.28 [0.10, 0.78] g/100g ; Selenium = 125 [45, 312] μg/100g ; VitaminA = 14 [4, 47] μg/100g ; Zinc = 1.43 [0.94, 2.22] mg/100g (wet weight); based on nutrient studies.",22,28
Neolamprologus-brichardi,nonvenomous,Freshwater;  benthopelagic; pH range: 8.0 - 9.0; dH range: 9 - 19. Tropical; 22°C - 25°C (Ref. 1672); 3°S -   6°S,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",22,25
Thalassophryne-amazonica,venomous,Freshwater;  demersal. Tropical,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00501 (0.00190 - 0.01323), b=3.15 (2.92 - 3.38), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.5 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",,
Epinephelus-lanceolatus,nonvenomous,"Marine; brackish;  reef-associated; depth range 1 - 200 m (Ref. 89972), usually ? - 50 m (Ref. 37816). Tropical; 29°N -   39°S, 24°E -   122°W (Ref. 5222)","Preferred temperature (Ref. 123201): 24.3 - 29.1, mean 28.1 °C (based on 1346 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01175 (0.00558 - 0.02474), b=3.04 (2.88 - 3.20), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.60 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",24.3,29.1
Anabas-testudineus,nonvenomous,Freshwater; brackish;  demersal; potamodromous (Ref. 51243); depth range 0 - ? m (Ref. 4833). Tropical; 22°C - 30°C (Ref. 1672); 28°N -   10°S,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.02399 (0.01795 - 0.03206), b=2.93 (2.85 - 3.01), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.0   ±0.4 se; based on diet studies.					

				
					
					
						 Generation time: 0.8 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Assuming tm=1; K=1.4; Fec=40,000-80,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (15 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",22,30
Mastacembelus-armatus,nonvenomous,Freshwater; brackish;  demersal; pH range: 6.5 - 7.5; dH range: ? - 15; potamodromous (Ref. 51243). Tropical; 22°C - 28°C (Ref. 1672); 38°N -   1°N,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00372 (0.00271 - 0.00509), b=2.90 (2.81 - 2.99), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.8   ±0.27 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (56 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",22,28
Xiphophorus-hellerii,nonvenomous,Freshwater; brackish;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19; non-migratory. Tropical; 22°C - 28°C (Ref. 52054); 26°N -   12°N,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01000 (0.00606 - 0.01650), b=3.06 (2.92 - 3.20), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.43 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1; Fec=20-200 * 12).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",22,28
Etheostoma-spectabile,nonvenomous,Freshwater;  benthopelagic. Temperate; 4°C - 18°C (Ref. 2059); 43°N -   30°N,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",4,18
Salarias-fasciatus,nonvenomous,"Marine; brackish;  reef-associated; depth range 0 - 8 m (Ref. 9710). Tropical; 30°N -   23°S, 32°E -   169°W","Preferred temperature (Ref. 123201): 25.4 - 29.3, mean 28.5 °C (based on 2623 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00851 (0.00448 - 0.01616), b=3.02 (2.85 - 3.19), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.0 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",25.4,29.3
Myripristis-murdjan,nonvenomous,Marine;  reef-associated; depth range 1 - 50 m (Ref. 9710). Tropical; 30°N -   35°S,"Preferred temperature (Ref. 123201): 24.7 - 29, mean 28 °C (based on 1080 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01820 (0.01108 - 0.02990), b=3.06 (2.92 - 3.20), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (44 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Medium.",24.7,29
Oncorhynchus-nerka,nonvenomous,"Marine; freshwater; brackish;  pelagic-oceanic; anadromous (Ref. 51243); depth range 0 - 250 m (Ref. 50550). Temperate; 0°C - 25°C (Ref. 35682); 72°N -   42°N, 130°E -   109°W (Ref. 117423)","Preferred temperature (Ref. 123201): 1 - 8.4, mean 4.2 °C (based on 374 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00482 - 0.02276), b=3.04 (2.87 - 3.21), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 2.9 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.37-0.58; tm=2-4; tmax=7; Fec=300).					
								
					
						 Prior r = 0.56, 95% CL = 0.37 - 0.85, Based on 6 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (31 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (72 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",1,8.4
Scleropages-formosus,nonvenomous,Freshwater;  benthopelagic. Tropical; 24°C - 30°C (Ref. 2060),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5781   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00427 (0.00176 - 0.01033), b=3.10 (2.89 - 3.31), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.63 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm = 3-4; Fec = 50 (in concrete tanks)).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (56 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",24,30
Xiphophorus-couchianus,nonvenomous,Freshwater;  benthopelagic; non-migratory. Tropical; 27°C - 30°C (Ref. 2060),"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",27,30
Larimichthys-crocea,nonvenomous,"Marine; brackish;  benthopelagic; oceanodromous (Ref. 51243); depth range 0 - 120 m (Ref. 43239). Temperate; 38°N -   13°N, 106°E -   141°E","Preferred temperature (Ref. 123201): 20.8 - 24.7, mean 22.8 °C (based on 54 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00891 (0.00583 - 0.01363), b=3.07 (2.95 - 3.19), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.56 se; based on food items.					

				
					
					
						 Generation time: 5.2 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming tm=2-4).					
								
					
						 Prior r = 0.30, 95% CL = 0.20 - 0.45, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (42 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Very high vulnerability (88 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",20.8,24.7
Carassius-auratus,nonvenomous,Freshwater; brackish;  benthopelagic; pH range: 6.0 - 8.0; dH range: 5 - 19; potamodromous (Ref. 51243); depth range 0 - 20 m (Ref. 6898). Subtropical; 0°C - 41°C (Ref. 35682); 53°N -   22°N,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01288 (0.01105 - 0.01502), b=3.04 (3.00 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.0 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.17; tm=1; tmax=30).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (38 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",0,41
Astatotilapia-calliptera,nonvenomous,Freshwater;  benthopelagic. Tropical; 24°C - 28°C (Ref. 2059); 13°S -   21°S,,24,28
Paramormyrops-kingsleyae,nonvenomous,Freshwater;  benthopelagic. Tropical,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5005   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01318 (0.00615 - 0.02826), b=2.86 (2.68 - 3.04), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Assuming Fec < 5,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",,
Xiphophorus-maculatus,nonvenomous,"Freshwater;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19; non-migratory. Tropical; 18°C - 25°C (Ref. 1672); 23°N -   17°N, 99°W -   86°W","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01023 (0.00456 - 0.02295), b=3.13 (2.94 - 3.32), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.40 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",18,25
Danio-rerio,nonvenomous,"Freshwater;  benthopelagic; pH range: 6.0 - 8.0; dH range: 5 - 19. Tropical; 18°C - 24°C (Ref. 1672); 33°N -   8°N, 66°E -   98°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00977 (0.00416 - 0.02293), b=3.04 (2.84 - 3.24), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tmax=5.5 (in captivity); tm<1; multiple spawning per year; Fec=400-500).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (11 of 100).",18,24
Hippocampus-comes,nonvenomous,"Marine;  reef-associated; non-migratory; depth range 0 - 32 m (Ref. 128812). Tropical; 15°N -   10°S, 91°E -   128°E","Preferred temperature (Ref. 123201): 28.3 - 29.3, mean 28.8 °C (based on 688 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00447 (0.00175 - 0.01142), b=3.00 (2.78 - 3.22), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.5 se; based on size and trophs of closest relatives					

				
					
					
						 Generation time: 0.6 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm=0.5-1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",28.3,29.3
Poecilia-reticulata,nonvenomous,"Freshwater; brackish;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19; non-migratory. Tropical; 18°C - 28°C (Ref. 1672); 14°N -   2°N, 67°W -   52°W","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01288 (0.00929 - 0.01787), b=3.13 (3.07 - 3.19), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.40 se; based on food items.					

				
					
					
						 Generation time: 0.3 (0.2 - 0.6) years. Estimated as median ln(3)/K based on 14 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm=0.16-0.25; Fec=20-40 with multiple spawning per year).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (33 of 100).",18,28
Sinocyclocheilus-rhinocerous,nonvenomous,Freshwater;  benthopelagic. Subtropical,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Poecilia-formosa,nonvenomous,Freshwater; brackish;  benthopelagic; non-migratory. Subtropical; 27°N -   25°N,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01318 (0.00567 - 0.03066), b=3.14 (2.96 - 3.32), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.5   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",,
Sinocyclocheilus-anshuiensis,nonvenomous,Freshwater;  benthopelagic. Subtropical,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01148 (0.00535 - 0.02462), b=3.02 (2.85 - 3.19), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.9   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",,
Sinocyclocheilus-grahami,nonvenomous,Freshwater;  benthopelagic. Temperate,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00603 (0.00279 - 0.01304), b=3.12 (2.93 - 3.31), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.9   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",,
Poecilia-mexicana,nonvenomous,Freshwater; brackish;  benthopelagic; pH range: 7.0 - 7.5; dH range: 20 - 30; non-migratory. Tropical; 22°C - 28°C (Ref. 12468); 19°N -   14°N,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",22,28
Poecilia-latipinna,nonvenomous,"Marine; freshwater; brackish;  benthopelagic; non-migratory; depth range 0 - ? m (Ref. 55263). Subtropical; 20°C - 28°C (Ref. 2060); 40°N -   16°N, 103°W -   76°W (Ref. 55263)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01288 (0.00763 - 0.02175), b=3.05 (2.91 - 3.19), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.0   ±0.00 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1; mutiple spawning per year; Fec=10--300).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",20,28
Latimeria-chalumnae,nonvenomous,"Marine;  demersal; non-migratory; depth range 150 - 700 m (Ref. 38430), usually 180 - 250 m (Ref. 27564). Deep-water; 13°C - 25°C (Ref. 38429); 3°S -   34°S, 25°E -   51°E (Ref. 46167)","Preferred temperature (Ref. 123201): 13.4 - 18.3, mean 15.6 °C (based on 16 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.2539   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01230 (0.00844 - 0.01794), b=3.03 (2.92 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.72 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (K=0.02; tmax=85; tm=40-69; Fec=5).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).",13,25
Notothenia-coriiceps,nonvenomous,"Marine;  demersal; depth range 0 - 550 m. Polar; 46°S -   78°S, 180°W -   180°E","Preferred temperature (Ref. 123201): -1.7 - 2.4, mean -0.6 °C (based on 170 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00661 (0.00540 - 0.00808), b=3.21 (3.15 - 3.27), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.8   ±0.35 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Assuming tm>4).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (60 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (50 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",-1.7,2.4
