species,habitat,venomous,threat_to_humans,model_predictions,temp_min,temp_max
Amphiprion-ocellaris,"Marine;  reef-associated; non-migratory; depth range 1 - 15 m (Ref. 7247), usually 3 - 15 m (Ref. 55267). Tropical; 46°N -   17°S, 92°E -   147°E (Ref. 55267)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 26.2 - 29.3, mean 28.7 °C (based on 1746 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.00648 - 0.03378), b=3.00 (2.80 - 3.20), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.36 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1; Fec=600).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 115 [69, 209] mg/100g ; Iron = 0.909 [0.558, 1.451] mg/100g ; Protein = 18.6 [17.5, 19.6] % ; Omega3 = 0.142 [0.086, 0.235] g/100g ; Selenium = 18.8 [10.6, 37.0] μg/100g ; VitaminA = 223 [75, 636] μg/100g ; Zinc = 1.84 [1.26, 2.60] mg/100g (wet weight);",26.2,29.3
Parambassis-ranga,Freshwater; brackish;  demersal; pH range: 7.0 - 8.0; dH range: 9 - 19; potamodromous (Ref. 51243). Tropical; 20°C - 30°C (Ref. 1672); 38°N -   1°N,nonvenomous,Harmless,"Nutrients  (Ref. 124155):  Calcium = 678 [434, 1,182] mg/100g ; Iron = 1.63 [1.04, 2.50] mg/100g ; Protein = 16.8 [15.2, 18.6] % ; Omega3 = 0.172 [0.079, 0.380] g/100g ; Selenium = 26.3 [10.5, 59.5] μg/100g ; VitaminA = 72.5 [35.1, 147.7] μg/100g ; Zinc = 2.32 [1.66, 3.18] mg/100g (wet weight); based on nutrient studies.",20,30
Mastacembelus-armatus,Freshwater; brackish;  demersal; pH range: 6.5 - 7.5; dH range: ? - 15; potamodromous (Ref. 51243). Tropical; 22°C - 28°C (Ref. 1672); 38°N -   1°N,nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00372 (0.00271 - 0.00509), b=2.90 (2.81 - 2.99), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.8   ±0.27 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (56 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",22,28
Dunckerocampus-dactyliophorus,Marine;  reef-associated; depth range 5 - 56 m (Ref. 1602). Tropical; 33°N -   26°S,nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 24.8 - 29, mean 27.8 °C (based on 672 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00085 (0.00032 - 0.00225), b=3.04 (2.81 - 3.27), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.55 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 93.5 [54.0, 188.5] mg/100g ; Iron = 0.776 [0.447, 1.440] mg/100g ; Protein = 18.2 [17.0, 19.3] % ; Omega3 = 0.128 [0.074, 0.232] g/100g ; Selenium = 37.4 [19.3, 82.4] μg/100g ; VitaminA = 78.1 [26.7, 221.2] μg/100g ; Zinc = 1.39 [0.94, 2.00] mg/100g (wet weight);",24.8,29
Pundamilia-nyererei,Freshwater;  benthopelagic; depth range 1 - 4 m (Ref. 4983). Tropical; 22°C - 28°C (Ref. 12468); 1°N -   3°S,nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",22,28
Astatotilapia-calliptera,Freshwater;  benthopelagic. Tropical; 24°C - 28°C (Ref. 2059); 13°S -   21°S,nonvenomous,Harmless,,24,28
Maylandia-zebra,Freshwater;  demersal; pH range: 8.0 - 8.0; dH range: 9 - 19; depth range 6 - 28 m. Tropical; 22°C - 28°C (Ref. 1672); 8°S -   15°S,nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.00690 - 0.03171), b=2.98 (2.81 - 3.15), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.3   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",22,28
Acanthochromis-polyacanthus,"Marine;  reef-associated; non-migratory; depth range 1 - 65 m (Ref. 9710), usually 4 - 20 m (Ref. 90102). Tropical; 15°N -   26°S, 116°E -   169°E (Ref. 56301)",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 25.1 - 28.9, mean 27.8 °C (based on 458 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.03236 (0.01934 - 0.05413), b=3.04 (2.89 - 3.19), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.7   ±0.30 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (13 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 112 [57, 167] mg/100g ; Iron = 0.861 [0.520, 1.422] mg/100g ; Protein = 18.3 [17.1, 19.4] % ; Omega3 = 0.121 [0.074, 0.195] g/100g ; Selenium = 36.9 [20.2, 68.6] μg/100g ; VitaminA = 50.9 [13.7, 180.6] μg/100g ; Zinc = 1.67 [1.14, 2.38] mg/100g (wet weight);",25.1,28.9
Gambusia-affinis,Freshwater; brackish;  benthopelagic; pH range: 6.0 - 8.0; dH range: 5 - 19; potamodromous. Subtropical; 12°C - 29°C (Ref. 52055); 42°N -   26°N,nonvenomous,Potential pest,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00832 (0.00673 - 0.01028), b=3.13 (3.07 - 3.19), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.2 se; based on diet studies.					

				
					
					
						 Generation time: 1.4 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=1.20; tmax=3; Fec=10-60).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (38 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",12,29
Simochromis-diagramma,Freshwater;  benthopelagic. Tropical; 25°C -  ? (Ref. 2059); 3°S -   9°S,nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Cheilinus-undulatus,Marine;  reef-associated; depth range 0 - 100 m (Ref. 58652). Tropical; 30°N -   23°S,nonvenomous,Reports of ciguatera poisoning (Ref. 5374),"Preferred temperature (Ref. 123201): 24.9 - 28.8, mean 27.5 °C (based on 580 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.01141 - 0.01917), b=2.97 (2.89 - 3.05), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.61 se; based on food items.					

				
					
					
						 Generation time: 27.5 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm = 5-7; tmax = 32).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (74 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",24.9,28.8
Haplochromis-burtoni,Freshwater;  benthopelagic; pH range: 8.5 - 9.0; dH range: 12 - 16; non-migratory. Tropical; 20°C - 25°C (Ref. 13371); 3°S -   9°S,nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01479 (0.00690 - 0.03171), b=2.98 (2.81 - 3.15), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.35 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",20,25
Echiichthys-vipera,"Marine;  demersal. Subtropical; 59°N -   20°N, 19°W -   36°E",venomous,Venomous (Ref. 4690),"Preferred temperature (Ref. 123201): 7.3 - 16.1, mean 10.5 °C (based on 734 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00741 (0.00455 - 0.01207), b=3.07 (2.93 - 3.21), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.7 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (18 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",7.3,16.1
Mugil-cephalus,"Marine; freshwater; brackish;  benthopelagic; catadromous (Ref. 51243); depth range 0 - 120 m (Ref. 9321), usually 0 - 10 m. Subtropical; 8°C - 24°C (Ref. 4944); 62°N -   57°S, 180°W -   180°E (Ref. 117425)",nonvenomous,Harmless (Ref. 4887),"Preferred temperature (Ref. 123201): 11.3 - 27.9, mean 23.2 °C (based on 3258 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01230 (0.01109 - 0.01364), b=2.93 (2.90 - 2.96), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.5   ±0.17 se; based on food items.					

				
					
					
						 Generation time: 4.8 (4.1 - 5.5) years. Estimated as median ln(3)/K based on 20 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.09-0.15; tm=2-6; tmax=16; Fec=1.6 million).					
								
					
						 Prior r = 0.51, 95% CL = 0.34 - 0.77, Based on 12 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (43 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (59 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high.",11.3,27.9
Eutrigla-gurnardus,"Marine; brackish;  demersal; depth range 10 - 340 m (Ref. 56504), usually 10 - 150 m (Ref. 35388). Temperate; 71°N -   21°N, 49°W -   42°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 7.3 - 13.5, mean 10.1 °C (based on 1378 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00692 (0.00574 - 0.00834), b=3.04 (2.98 - 3.10), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 6.9 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.16; tm=3-4; tmax=16; Fec=200,000).					
								
					
						 Prior r = 0.74, 95% CL = 0.49 - 1.10, Based on 1 stock assessment.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (55 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Low to moderate vulnerability (27 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						High.",7.3,13.5
Betta-splendens,"Freshwater;  benthopelagic; pH range: 6.0 - 8.0; dH range: 5 - 19. Tropical; 24°C - 30°C (Ref. 1672); 22°N -   8°N, 99°E -   107°E",nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00977 (0.00367 - 0.02602), b=2.97 (2.74 - 3.20), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.41 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1; multiple annual spawning; Fec to 390).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",24,30
Notolabrus-celidotus,Marine; brackish;  reef-associated; depth range 22 - 145 m (Ref. 58489). Temperate,nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Lipophrys-pholis,"Marine;  demersal; non-migratory; depth range 0 - 8 m (Ref. 5981). Temperate; 65°N -   18°N, 32°W -   11°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 9.8 - 19.3, mean 12.3 °C (based on 364 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01047 (0.00473 - 0.02317), b=3.02 (2.84 - 3.20), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.33 se; based on food items.					

				
					
					
						 Generation time: 3.7 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tmax=10; k=0.3).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (33 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 71.7 [39.0, 163.8] mg/100g ; Iron = 0.421 [0.255, 0.762] mg/100g ; Protein = 18.5 [17.6, 19.5] % ; Omega3 = 0.548 [0.285, 1.041] g/100g ; Selenium = 5.86 [2.73, 13.11] μg/100g ; VitaminA = 28.3 [7.5, 104.2] μg/100g ; Zinc = 0.802 [0.545, 1.171] mg/100g (wet weight);",9.8,19.3
Squalius-cephalus,"Freshwater; brackish;  benthopelagic; pH range: 6.0 - 7.8; dH range: 8 - 25; potamodromous (Ref. 51243); depth range 0 - ? m. Temperate; 4°C - 20°C (Ref. 2059); 64°N -   35°N, 10°W -   60°E",nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00794 (0.00713 - 0.00885), b=3.12 (3.09 - 3.15), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.7   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.12-0.28; tm=3-7; tmax=10; Fec=20,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (61 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",4,20
Xiphophorus-hellerii,Freshwater; brackish;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19; non-migratory. Tropical; 22°C - 28°C (Ref. 52054); 26°N -   12°N,nonvenomous,Potential pest,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01000 (0.00606 - 0.01650), b=3.06 (2.92 - 3.20), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.43 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1; Fec=20-200 * 12).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",22,28
Telmatherina-bonti,Freshwater;  pelagic; dH range: 1 - 40; non-migratory. Tropical; 22°C - 24°C (Ref. 2059); 1°S -   3°S,nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5010   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00514 - 0.02450), b=3.04 (2.87 - 3.21), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
									
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",22,24
Cottoperca-gobio,"Marine;  demersal. Subtropical; 34°S -   57°S, 76°W -   53°W",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 6.8 - 13.7, mean 9 °C (based on 281 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7505   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00514 - 0.02450), b=3.04 (2.87 - 3.21), in cm total length, based on all LWR estimates for this BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.3   ±0.73 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (52 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 71.9 [40.2, 145.7] mg/100g ; Iron = 1.23 [0.75, 2.11] mg/100g ; Protein = 17.9 [15.5, 21.1] % ; Omega3 = 0.282 [0.173, 0.476] g/100g ; Selenium = 23.7 [11.3, 52.3] μg/100g ; VitaminA = 11.2 [3.6, 34.7] μg/100g ; Zinc = 0.603 [0.419, 0.897] mg/100g (wet weight); based on nutrient studies.",6.8,13.7
Oryzias-melastigma,Freshwater; brackish;  benthopelagic. Tropical,nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Rutilus-rutilus,"Freshwater; brackish;  benthopelagic; pH range: 7.0 - 7.5; dH range: 10 - 15; potamodromous (Ref. 51243); depth range 15 - ? m. Subtropical; 10°C - 20°C (Ref. 1672); 71°N -   36°N, 10°W -   155°E",nonvenomous,Potential pest (Ref. 59043),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00794 (0.00727 - 0.00867), b=3.15 (3.12 - 3.18), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.0   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 7.6 (5.2 - 10.8) years. Estimated as median ln(3)/K based on 18 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.10-0.21; tm=2-3; tmax=12).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (53 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",10,20
Gouania-willdenowi,"Marine;  demersal; depth range 0 - 2 m (Ref. 123696). Subtropical; 45°N -   30°N, 1°W -   36°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 17.7 - 21.8, mean 19.3 °C (based on 464 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00513 (0.00201 - 0.01311), b=3.11 (2.89 - 3.33), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.5 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 229 [39, 929] mg/100g ; Iron = 1.53 [0.53, 5.20] mg/100g ; Protein = 3.01 [0.00, 6.87] % ; Omega3 = 0.246 [0.093, 0.680] g/100g ; Selenium = 5.31 [1.05, 20.19] μg/100g ; VitaminA = 58.3 [13.0, 249.9] μg/100g ; Zinc = 1.68 [0.78, 3.62] mg/100g (wet weight);",17.7,21.8
Xiphophorus-maculatus,"Freshwater;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19; non-migratory. Tropical; 18°C - 25°C (Ref. 1672); 23°N -   17°N, 99°W -   86°W",nonvenomous,,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01023 (0.00456 - 0.02295), b=3.13 (2.94 - 3.32), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.40 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",18,24
Gymnoscopelus-braueri,Marine;  bathypelagic; oceanodromous (Ref. 51243); depth range ? - 2700 m (Ref. 58018). Deep-water; 33°S -   78°S,nonvenomous,Harmless,"Preferred temperature (Ref. 123201): -1.5 - 2.3, mean 0.8 °C (based on 693 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5039   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00437 (0.00196 - 0.00970), b=3.16 (2.96 - 3.36), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.3 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (17 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",-1.5,2.3
Blennius-ocellaris,"Marine;  demersal; depth range 10 - 400 m. Subtropical; 51°N -   30°N, 11°W -   42°E",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 11 - 17.1, mean 13.9 °C (based on 237 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.7500   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00832 (0.00644 - 0.01075), b=3.01 (2.93 - 3.09), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.5   ±0.43 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",11,17.1
Fundulus-heteroclitus,"Marine; freshwater; brackish;  benthopelagic; non-migratory. Temperate; 10°C - 24°C (Ref. 12468); 52°N -   28°N, 82°W -   55°W",nonvenomous,Harmless,"Preferred temperature (Ref. 123201): 6.1 - 23.7, mean 9.3 °C (based on 163 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00933 (0.00721 - 0.01208), b=3.17 (3.10 - 3.24), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.48 se; based on food items.					

				
					
					
						 Generation time: 1.5 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm<1; tmax=4).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (19 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 82.9 [39.2, 188.9] mg/100g ; Iron = 0.442 [0.225, 0.881] mg/100g ; Protein = 17.9 [16.5, 19.2] % ; Omega3 = 0.594 [0.249, 1.464] g/100g ; Selenium = 4.78 [1.73, 11.60] μg/100g ; VitaminA = 29.2 [7.9, 115.4] μg/100g ; Zinc = 1.09 [0.70, 1.68] mg/100g (wet weight);",6.1,23.7
Xiphophorus-couchianus,Freshwater;  benthopelagic; non-migratory. Tropical; 27°C - 30°C (Ref. 2060),nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",27,30
